RTT,Category
0.0248880386353,0
0.014710187912,0
0.00962400436401,0
0.0023021697998,0
0.0114419460297,0
0.0278100967407,0
0.0190761089325,0
0.0181770324707,0
0.0182921886444,0
0.0207629203796,0
0.0115051269531,0
0.0103580951691,0
0.0151371955872,0
0.0192930698395,0
0.0184490680695,0
0.0100600719452,0
0.00611591339111,0
0.025682926178,1
0.0209600925446,1
0.0126900672913,1
0.0197949409485,1
0.0169639587402,1
0.0215718746185,1
0.0168399810791,1
0.0197260379791,1
0.0189859867096,1
0.0171060562134,1
0.0192458629608,0
0.0182559490204,0
0.0174698829651,0
0.0239160060883,0
0.00972294807434,0
0.00878119468689,0
0.0191099643707,0
0.0145289897919,0
0.0192079544067,0
0.0101668834686,0
0.0175149440765,0
0.0100882053375,0
0.0191299915314,0
0.0103511810303,0
0.0113639831543,0
0.0108618736267,0
0.0167298316956,0
0.0188550949097,0
0.0154600143433,1
0.0210790634155,1
0.0254979133606,1
0.0240099430084,1
0.0127108097076,1
0.0193710327148,1
0.0168070793152,1
0.0200469493866,1
0.0174670219421,1
0.0170018672943,1
0.0168559551239,1
0.0170781612396,1
0.0173070430756,1
0.0228021144867,1
0.0377700328827,1
0.0202701091766,1
0.021497964859,1
0.0177071094513,1
0.0173690319061,1
0.016608953476,1
0.0289418697357,1
0.0192711353302,1
0.0237641334534,1
0.0216550827026,1
0.029993057251,1
0.0159418582916,1
0.019572019577,0
0.0148799419403,0
0.0209021568298,0
0.0174381732941,0
0.0232529640198,0
0.0195381641388,0
0.017009973526,0
0.0208718776703,0
0.0221951007843,0
0.0180699825287,0
0.0241870880127,0
0.0249660015106,0
0.0238389968872,0
0.0459229946136,0
0.0167860984802,1
0.0209579467773,1
0.019700050354,1
0.0217871665955,1
0.0152509212494,1
0.0210490226746,1
0.0215730667114,1
0.0168871879578,1
0.0220620632172,1
0.0224249362946,1
0.0227839946747,1
0.0185749530792,1
0.0181429386139,1
0.0104019641876,1
0.0146510601044,1
0.0200488567352,1
0.0255470275879,1
0.0183188915253,1
0.0140910148621,1
0.0113711357117,0
0.0146000385284,0
0.0188400745392,0
0.0105350017548,0
0.0200629234314,0
0.0105180740356,0
0.0204749107361,0
0.0224950313568,0
0.0176219940186,0
0.0196781158447,0
0.0191738605499,0
0.0118510723114,0
0.0112960338593,0
0.0185930728912,0
0.0239291191101,0
0.0161969661713,1
0.0205059051514,1
0.0172250270844,1
0.0158689022064,1
0.0167801380157,1
0.0185749530792,1
0.00976181030273,1
0.0232110023499,1
0.0187001228333,1
0.0195369720459,1
0.0171909332275,1
0.0178182125092,1
0.0201668739319,1
0.0159299373627,1
0.0160801410675,1
0.0193779468536,1
0.0289371013641,1
0.0232789516449,1
0.019562959671,1
0.0176959037781,1
0.0169920921326,1
0.018238067627,1
0.0162048339844,1
0.0267729759216,0
0.0157918930054,0
0.0239329338074,0
0.01691198349,0
0.0247359275818,0
0.0246999263763,0
0.020103931427,0
0.0292680263519,0
0.0220818519592,0
0.015408039093,0
0.019947052002,0
0.0149240493774,0
0.0201539993286,0
0.0171201229095,0
0.0242779254913,0
0.0205237865448,0
0.0194261074066,0
0.0234470367432,0
0.0243599414825,0
0.019623041153,0
0.0169830322266,1
0.00604295730591,1
0.0136201381683,1
0.018707036972,1
0.0127420425415,1
0.0216262340546,1
0.0184109210968,1
0.0168030261993,1
0.00974988937378,1
0.018394947052,1
0.0212569236755,1
0.0163810253143,1
0.0127921104431,1
0.02077293396,1
0.0212090015411,1
0.021096944809,1
0.0171160697937,1
0.014356136322,1
0.0106110572815,1
0.0186491012573,1
0.0196979045868,0
0.0167770385742,0
0.0249819755554,0
0.0200018882751,0
0.0150799751282,0
0.0205571651459,0
0.0193700790405,0
0.0205988883972,0
0.0197551250458,0
0.0198891162872,0
0.0117108821869,0
0.0202589035034,0
0.0121030807495,0
0.0242478847504,0
0.0184690952301,1
0.0202569961548,1
0.0183129310608,1
0.0238490104675,1
0.0158479213715,1
0.0334000587463,1
0.00646209716797,1
0.0173690319061,1
0.0311551094055,1
0.0236871242523,1
0.0137760639191,1
0.00893902778625,1
0.0161581039429,1
0.0179858207703,1
0.0219311714172,1
0.0196261405945,1
0.0216038227081,1
0.0205438137054,1
0.0183038711548,1
0.0192139148712,0
0.0209171772003,0
0.020327091217,0
0.0204780101776,0
0.0158569812775,0
0.0205318927765,0
0.0130429267883,0
0.0205340385437,0
0.0248079299927,0
0.0205209255219,0
0.0206928253174,0
0.0157430171967,0
0.0246150493622,0
0.0191991329193,0
0.025762796402,1
0.0178821086884,1
0.0144050121307,1
0.00853586196899,1
0.0106921195984,1
0.0151569843292,1
0.0145468711853,1
0.0193560123444,1
0.00558400154114,1
0.00745391845703,1
0.0175302028656,1
0.0176019668579,1
0.0222249031067,1
0.0188498497009,1
0.0200259685516,1
0.0195469856262,1
0.0236411094666,1
0.0252051353455,1
0.00685000419617,1
0.0190110206604,1
0.0232789516449,1
0.014848947525,1
0.0168409347534,1
0.0133838653564,1
0.0178959369659,0
0.0185599327087,0
0.0196590423584,0
0.0208210945129,0
0.0292749404907,0
0.0209500789642,0
0.0210168361664,0
0.00917196273804,0
0.0161838531494,0
0.0245580673218,0
0.0204849243164,0
0.016539812088,0
0.0278670787811,0
0.0121378898621,0
0.0206701755524,0
0.0208039283752,0
0.0205628871918,0
0.0224730968475,0
